,product_name,selling_price,actual_price,average_rating,rating_and_rivew,ram,SSD,processor,operating_system,exchange_offer,display_size
869,Lenovo Ideapad 330 Core i5 8th Gen - (8 GB + 16 GB Optane/1 TB HDD/Windows 10 Home/4 GB Graphics/NVIDI...,"₹64,949","₹64,999",4.2,23 Ratings & 5 Reviews,8 GB DDR4 RAM,1 TB HDD,Intel Core i5 Processor (8th Gen),64 bit Windows 10 Operating System,Bank Offer,39.62 cm (15.6 inch) Display
870,Lenovo Ideapad 520 Core i5 8th Gen - (8 GB/2 TB HDD/Windows 10 Home/4 GB Graphics) 520-15IKB Laptop,"₹64,821","₹79,090",3.3,4 Ratings & 0 Reviews,8 GB DDR4 RAM,2 TB HDD,Intel Core i5 Processor (8th Gen),64 bit Windows 10 Operating System,"Upto ₹18,100 Off on Exchange",39.62 cm (15.6 inch) Display
871,Lenovo Core i5 7th Gen - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics) IP 520 Laptop,"₹64,699","₹64,715",4,59 Ratings & 22 Reviews,8 GB DDR4 RAM,1 TB HDD,Intel Core i5 Processor (7th Gen),"Pre-installed Genuine Windows 10 Operating System (Includes Built-in Security, Free Automated Updates, Latest Features)",Bank Offer,39.62 cm (15.6 inch) Display
872,DELL Inspiron 15 5000 Core i5 8th Gen - (8 GB/2 TB HDD/Windows 10 Home/2 GB Graphics) 5570 Laptop,"₹61,990","₹62,317",4,378 Ratings & 53 Reviews,8 GB DDR4 RAM,1 TB HDD,Intel Core i5 Processor (8th Gen),64 bit Windows 10 Operating System,Bank Offer,39.62 cm (15.6 inch) Display
873,acer Aspire 5 Core i5 8th Gen - (8 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) A515-52G Thin and Light ...,"₹61,990","₹62,549",4.1,73 Ratings & 21 Reviews,8 GB DDR4 RAM,1 TB HDD,Intel Core i5 Processor (8th Gen),64 bit Windows 10 Operating System,"Upto ₹18,100 Off on Exchange",39.62 cm (15.6 inch) Display
874,HP Pavilion x360 Core i5 8th Gen - (8 GB/1 TB HDD/Windows 10 Home) 14-dh0150TU 2 in 1 Laptop,"₹61,949","₹63,879",4.3,269 Ratings & 29 Reviews,8 GB DDR4 RAM,1 TB HDD,Intel Core i5 Processor (8th Gen),64 bit Windows 10 Operating System,Bank Offer,35.56 cm (14 inch) Touchscreen Display
875,Lenovo Core i5 10th Gen - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX NVIDIA GeFor...,"₹60,990","₹78,990",0,0,8 GB DDR4 RAM,1 TB HDD,Intel Core i5 Processor (10th Gen),Windows 10 Operating System,Bank Offer,39.62 cm (15.6 inch) Display
876,Lenovo IdeaPad Gaming Core i5 10th Gen - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce G...,"₹60,990","₹78,290",4,70 Ratings & 13 Reviews,8 GB DDR4 RAM,1 TB HDD,Intel Core i5 Processor (10th Gen),64 bit Windows 10 Operating System,Bank Offer,39.62 cm (15.6 Inch) Display
877,HP Pavilion Gaming Ryzen 5 Hexa Core 4600H - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics/NVIDIA GeFor...,"₹59,990","₹68,192",4.1,"1,544 Ratings & 159 Reviews",8 GB DDR4 RAM,1 TB HDD,AMD Ryzen 5 Hexa Core Processor,64 bit Windows 10 Operating System,"Upto ₹18,100 Off on Exchange",39.62 cm (15.6 inch) Display
878,acer Aspire 5 Core i5 8th Gen - (8 GB + 16 GB Optane/1 TB HDD/Windows 10 Home/2 GB Graphics) A515-52G-...,"₹59,990","₹62,511",4.1,117 Ratings & 27 Reviews,8 GB DDR4 RAM,1 TB HDD,Intel Core i5 Processor (8th Gen),64 bit Windows 10 Operating System,"Upto ₹18,100 Off on Exchange",39.62 cm (15.6 inch) Display
879,DELL Core i5 11th Gen - (8 GB/1 TB HDD/Windows 10 Home) Vostro 14 3400 Laptop,"₹58,990","₹68,900",0,0,8 GB DDR4 RAM,1 TB HDD,Intel Core i5 Processor (11th Gen),Windows 10 Operating System,Bank Offer,35.56 cm (14 inch) Display
880,DELL Core i5 11th Gen - (8 GB/1 TB HDD/Windows 10) 3400 Laptop,"₹58,490","₹59,990",0,0,8 GB DDR4 RAM,1 TB HDD,Intel Core i5 Processor (11th Gen),Windows 10 Operating System,Bank Offer,38.1 cm (15 inch) Display
881,DELL Core i5 11th Gen - (8 GB/1 TB HDD/Windows 10) 3400 Laptop,"₹58,490","₹59,990",0,0,8 GB DDR4 RAM,1 TB HDD,Intel Core i5 Processor (11th Gen),Windows 10 Operating System,0,38.1 cm (15 inch) Display
882,ASUS ExpertBook P1 Core i5 10th Gen - (8 GB/1 TB HDD/Windows 10 Pro) ExpertBook P1 P1440FA Thin and Li...,"₹56,990","₹70,990",0,0,8 GB DDR4 RAM,1 TB HDD,Intel Core i5 Processor (10th Gen),64 bit Windows 10 Operating System,Bank Offer,35.56 cm (14 inch) Display
883,HP 15s Core i5 11th Gen - (8 GB/1 TB HDD/Windows 10 Home/2 GB Graphics) 15s-du3060TX Thin and Light La...,"₹56,490","₹69,990",3.6,217 Ratings & 24 Reviews,8 GB DDR4 RAM,1 TB HDD,Intel Core i5 Processor (11th Gen),64 bit Windows 10 Operating System,"Upto ₹18,100 Off on Exchange",39.62 cm (15.6 inch) Display
